Tstart,Tend,Bx,By,Bz,Bmag_avg,Ni_avg,Vx,Vy,Vz,VSW,Vth_mag_Ion,Vth_para_Ion,Vth_perp_Ion,Ne,Ue,Te,,Ti,Ti_para,Ti_perp, ,VA,Beta,Beta_para,Beta_perp,Omega_i,omega_pi,omega_pe,rho_i,rho_s,rho_c,d_i,d_e,sigma_i,Lperp,lambda_d, ,f_di,f_rhoi,f_rhos,f_rhoc,f_lambdad,f_lambdad scaled,,f_brk,k_brk,l_brk,,eps0,8.85E-12
2010-01-01T04:02:46.669000, 2010-01-01T04:12:46.693000,-3.916587E-10,2.563178E-09,1.358686E-09,2.949503E-09,3455912.55,-277362.567,-2316.856593,-15582.78192,277817.1271,18870.40303,21366.71736,17446.82035,3690851.088,251410.3615,178790.0671,,2.77E+04,1.84E+04,8.25E+08, ,3.460721E+04,0.2973235423,0.3811909285,0.2541555074,2.83E-01,2447.526426,108382.8181,6.18E+04,1.11E+05,1.89E+05,1.13E+05,2.77E+03,7.56E+04,442159690.5,54043.99613, ,3.90E-01,7.16E-01,3.98E-01,2.34E-01,0.8181476615,0.1740739705,,0.1379969813,0.00000312097607,320412.5817,,mu0,0.000001256637061
2010-01-01T05:19:03.484000, 2010-01-01T05:29:03.508000,-3.863329E-10,2.591893E-09,8.530160E-10,2.770242E-09,3978699.095,-280186.003,-752.7985984,-11864.25057,280441.7361,20008.45069,22451.05154,18661.25702,4106936.22,261926.1897,186991.8181,,3.05E+04,2.11E+04,1.02E+09, ,3.029328E+04,0.4362489755,0.5492636664,0.3794803445,2.65E-01,2626.13208,114328.9346,7.03E+04,1.23E+05,1.91E+05,1.06E+05,2.62E+03,8.46E+04,446336885.5,55304.06624, ,4.19E-01,6.35E-01,3.63E-01,2.34E-01,0.8070597984,0.1717148507,,0.5989770174,0.00001341984131,74516.52944,,mpi,1.67E-27
2010-01-01T06:29:19.016000, 2010-01-01T06:39:19.040000,1.294737E-09,2.276017E-09,6.666425E-11,2.681960E-09,3849455.234,-292825.0707,260.5246027,-5311.889143,292883.0022,20554.32401,24429.98788,18307.84133,4047585.167,242795.4965,178934.7237,,3.62E+04,2.03E+04,9.92E+08, ,2.981616E+04,0.4752290075,0.67134081,0.3770255871,2.57E-01,2583.126377,113499.8206,7.13E+04,1.12E+05,1.98E+05,1.03E+05,2.64E+03,9.51E+04,466137775.5,53488.63355, ,4.51E-01,6.54E-01,4.16E-01,2.35E-01,0.8714707117,0.1854193004,,0.389835096,0.000008363087407,119573.0657,,mpe,9.11E-31
2010-01-01T08:33:42.975000, 2010-01-01T08:43:42.999000,5.969589E-10,1.686185E-09,1.935860E-09,2.874568E-09,3991134.419,-292036.6482,1307.904916,-14969.68472,292449.5826,22077.0902,27808.99298,18520.441,4066962.747,255070.2792,173484.7357,,4.68E+04,2.08E+04,1.00E+09, ,3.138509E+04,0.494808198,0.7850977763,0.3482217306,2.75E-01,2630.232833,113771.1831,6.73E+04,9.15E+04,1.97E+05,9.56E+04,2.64E+03,1.01E+05,465447966.7,48818.0411, ,4.87E-01,6.92E-01,5.09E-01,2.37E-01,0.9534343376,0.2028583697,,0.2191988539,0.000004709416939,212340.5111,,e,1.60E-19
2010-01-01T08:50:28.259000, 2010-01-01T09:00:28.283000,-9.882187E-11,2.511566E-09,1.370961E-09,2.882320E-09,3896364.362,-289144.6348,-1871.556979,-12792.35438,289436.6981,22206.52148,26115.37801,19941.86329,4050809.829,260415.696,178294.0781,,4.13E+04,2.41E+04,9.94E+08, ,3.185015E+04,0.4861140133,0.672310208,0.3920202864,2.76E-01,2598.817596,113545.0236,7.22E+04,1.06E+05,1.98E+05,1.04E+05,2.64E+03,9.46E+04,460652812.2,52117.71657, ,4.45E-01,6.38E-01,4.34E-01,2.32E-01,0.8838699054,0.1880574267,,0.7029049875,0.00001525888845,65535.57314,,kb,1.38E-23
2010-01-01T11:18:48.246000, 2010-01-01T11:28:48.270000,-9.690389E-10,3.364008E-09,2.026713E-09,4.057721E-09,3816072.639,-285456.5364,-5252.687785,-14523.19746,285882.6916,17299.56046,18810.82439,16457.42566,4366272.764,257227.3231,174698.4111,,2.14E+04,1.64E+04,1.15E+09, ,4.530779E+04,0.1457888701,0.1723732582,0.1319404728,3.89E-01,2571.901512,117883.3879,4.23E+04,8.55E+04,1.59E+05,1.11E+05,2.54E+03,4.84E+04,454996435.2,46497.27531, ,4.10E-01,1.07E+00,5.32E-01,2.86E-01,0.9785442957,0.208200914,,0.2997012385,0.000006586892014,151816.6683,,c,3.00E+08
2010-01-01T11:30:38.486000, 2010-01-01T11:40:38.510000,-7.661160E-10,3.583879E-09,1.979488E-09,4.215119E-09,3586887.093,-289742.3728,-7908.477946,-14544.20232,290231.0195,16347.90862,17527.56148,15706.45091,4439618.359,256108.9544,172007.3015,,1.86E+04,1.49E+04,1.19E+09, ,4.854562E+04,0.1134029497,0.1303595782,0.1046781578,4.04E-01,2493.474152,118869.3797,3.89E+04,8.36E+04,1.59E+05,1.16E+05,2.52E+03,4.34E+04,461917013.9,45954.46054, ,4.00E-01,1.19E+00,5.52E-01,2.91E-01,1.005162521,0.2138643661,,0.1262754675,0.000002733726269,365801.072,,,
2010-01-01T14:39:25.985000, 2010-01-01T14:49:26.009000,5.178834E-10,3.351502E-09,2.045294E-09,4.082633E-09,4920350.372,-300353.6304,-7489.484548,-10999.02366,300660.1431,21336.08853,24560.81373,19418.06572,5974597.337,270401.9175,166293.4828,,3.65E+04,2.28E+04,2.16E+09, ,4.014591E+04,0.2824535295,0.3742854111,0.2339533831,3.91E-01,2920.41138,137895.9457,4.97E+04,7.49E+04,1.56E+05,9.34E+04,2.17E+03,6.28E+04,478515479.7,41124.61529, ,5.12E-01,9.64E-01,6.39E-01,3.06E-01,1.163574361,0.247569013,,0.1262325291,0.000002638003043,379074.6196,,,
2010-01-01T15:53:03.181000, 2010-01-01T16:03:03.205000,-2.498582E-09,3.157250E-09,-5.331519E-10,4.113707E-09,4771280.061,-276897.6867,-13608.43916,9170.68992,277393.5514,23730.29398,25307.68503,22407.97147,5323157.525,265855.1129,181742.0602,,3.88E+04,3.04E+04,1.72E+09, ,4.107853E+04,0.333715493,0.3795552249,0.2975604579,3.94E-01,2875.831735,130161.2877,5.69E+04,8.70E+04,1.63E+05,9.84E+04,2.30E+03,6.42E+04,441485548.9,44702.10258, ,4.48E-01,7.76E-01,5.07E-01,2.71E-01,0.9876169653,0.2101312692,,0.4007375149,0.000009077024511,110168.2604,,,
2010-01-01T16:25:03.313000, 2010-01-01T16:35:03.337000,-1.526522E-09,3.857868E-09,-6.432509E-10,4.358997E-09,6214525.314,-286132.1405,-12178.15748,12190.72108,286728.2758,20454.26405,22972.20439,18968.65712,6267568.872,261451.7258,144069.5769,,3.20E+04,2.18E+04,2.38E+09, ,3.814008E+04,0.2876102858,0.3627789178,0.2473488354,4.18E-01,3282.086313,141236.4311,4.54E+04,6.82E+04,1.40E+05,8.47E+04,2.12E+03,5.50E+04,456342224.2,38823.20025, ,5.39E-01,1.00E+00,6.69E-01,3.27E-01,1.175436907,0.2500929589,,0.2720131831,0.000005960727908,167764.7454,,,
